City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,41.31,98,100,18.99,TF,overcast clouds
1,iskateley,67.6803,53.1512,10.02,90,81,8.01,RU,broken clouds
2,tarnogskiy gorodok,60.4997,43.5761,25.5,90,95,8.55,RU,light snow
3,adamstown,-25.066,-130.1015,72.9,81,99,13.42,PN,light rain
4,walvis bay,-22.9575,14.5053,65.35,63,6,8.05,NA,clear sky
5,puerto natales,-51.7236,-72.4875,41.45,70,75,5.75,CL,broken clouds
6,grytviken,-54.2811,-36.5092,31.03,97,100,3.4,GS,snow
7,alofi,-19.0595,-169.9187,73.29,73,78,8.05,NU,broken clouds
8,caxito,-8.5785,13.6643,80.94,73,81,7.54,AO,broken clouds
9,miyako,39.6367,141.9525,55.62,95,81,8.12,JP,light rain
10,invercargill,-46.4,168.35,41.02,94,46,1.99,NZ,scattered clouds
11,grand falls-windsor,48.9332,-55.6649,55.51,96,100,1.01,CA,overcast clouds
12,kingston,17.997,-76.7936,88.25,66,40,9.22,JM,scattered clouds
13,tarija,-21.5355,-64.7296,85.91,26,64,6.91,BO,broken clouds
14,qingdao,36.0986,120.3719,53.2,94,0,4.47,CN,clear sky
15,afaahiti,-17.75,-149.2833,78.67,75,100,6.42,PF,overcast clouds
16,vorgashor,67.5833,63.95,4.3,100,97,2.53,RU,overcast clouds
17,ciudad lazaro cardenas,17.9583,-102.2,84.18,69,98,1.14,MX,overcast clouds
18,talnakh,69.4865,88.3972,4.21,92,78,1.99,RU,broken clouds
19,zemio,5.0314,25.1361,69.4,95,61,2.28,CF,broken clouds
20,bilibino,68.0546,166.4372,-7.89,99,65,1.74,RU,broken clouds
21,west island,-12.1568,96.8225,78.78,78,40,21.85,CC,scattered clouds
22,tazovsky,67.4667,78.7,6.93,91,59,11.07,RU,broken clouds
23,olonkinbyen,70.9221,-8.7187,30.51,76,94,6.13,SJ,overcast clouds
24,cabo san lucas,22.8909,-109.9124,82.76,55,0,3.44,MX,clear sky
25,anadyr,64.75,177.4833,34.3,100,100,13.42,RU,light rain
26,box elder,41.5005,-112.8764,40.26,48,0,16.69,US,clear sky
27,ribeira grande,38.5167,-28.7,66.6,63,40,19.57,PT,scattered clouds
28,irece,-11.3042,-41.8558,97.47,17,19,16.17,BR,few clouds
29,nova sintra,14.8667,-24.7167,75.49,75,38,15.95,CV,scattered clouds
30,buy,58.4786,41.53,28.67,92,96,8.59,RU,overcast clouds
31,howrah,22.5892,88.3103,77.0,78,20,0.0,IN,haze
32,pisco,-13.7,-76.2167,71.65,73,40,11.5,PE,scattered clouds
33,ramnagar,29.4,79.1167,65.34,57,100,4.5,IN,overcast clouds
34,hamilton,39.1834,-84.5333,61.43,93,100,8.05,US,mist
35,port mathurin,-19.6833,63.4167,76.1,79,18,8.86,MU,few clouds
36,lebu,-37.6167,-73.65,52.88,88,100,21.39,CL,overcast clouds
37,vize,41.5725,27.7658,71.64,82,9,8.28,TR,clear sky
38,bloemhof,-27.6469,25.607,73.98,16,16,18.99,ZA,few clouds
39,ancud,-41.8697,-73.8203,47.68,73,86,28.07,CL,light rain
40,blackmans bay,-43.0167,147.3167,48.72,74,64,3.0,AU,broken clouds
41,duba,27.3513,35.6901,82.8,55,98,7.45,SA,overcast clouds
42,tyuratam,45.6507,63.3156,55.81,64,51,4.14,KZ,broken clouds
43,kuytun,54.3419,101.5036,20.39,79,87,5.14,RU,overcast clouds
44,papatowai,-46.5619,169.4708,41.05,90,28,5.66,NZ,scattered clouds
45,umluj,25.0213,37.2685,85.19,53,71,10.54,SA,broken clouds
46,sur,22.5667,59.5289,82.65,59,94,2.35,OM,overcast clouds
47,crane,31.3974,-102.3501,73.96,71,94,21.27,US,overcast clouds
48,lata,40.1629,-8.3327,62.08,90,97,10.98,PT,light rain
49,keflavik,64.0049,-22.5624,41.43,70,0,3.44,IS,clear sky
50,lazaro cardenas,17.9583,-102.2,84.67,68,98,3.15,MX,overcast clouds
51,poso,-1.3959,120.7524,75.6,65,83,5.5,ID,broken clouds
52,sinabang,2.4803,96.3801,78.62,86,98,2.3,ID,overcast clouds
53,pacific grove,36.6177,-121.9166,61.41,76,0,11.01,US,clear sky
54,kharan,28.5833,65.4167,76.77,31,6,0.89,PK,clear sky
55,longyearbyen,78.2186,15.6401,26.44,93,75,6.91,SJ,light snow
56,tiksi,71.6872,128.8694,12.74,91,100,7.29,RU,overcast clouds
57,changji,44.0167,87.3167,45.39,57,0,2.24,CN,clear sky
58,fort st. john,56.2499,-120.8529,21.09,79,40,4.61,CA,mist
59,ahmadnagar,19.0833,74.7333,72.36,40,0,5.97,IN,clear sky
60,yellowknife,62.456,-114.3525,32.41,100,75,12.66,CA,light snow
61,bethel,41.3712,-73.414,80.89,60,0,11.5,US,clear sky
62,saint-leu,-21.15,55.2833,76.06,97,14,6.4,RE,few clouds
